NACA 65(2)-415
    1.000000       0.000000    
   0.9504000      0.1058000E-01
   0.9008000      0.2175000E-01
   0.8510900      0.3320000E-01
   0.8012600      0.4447000E-01
   0.7513100      0.5532000E-01
   0.7012400      0.6542000E-01
   0.6510600      0.7462000E-01
   0.6007900      0.8260000E-01
   0.5504300      0.8910000E-01
   0.5000000      0.9371000E-01
   0.4495300      0.9617000E-01
   0.3990300      0.9639000E-01
   0.3485400      0.9455000E-01
   0.2980700      0.9093000E-01
   0.2476400      0.8550000E-01
   0.1972600      0.7809000E-01
   0.1469700      0.6842000E-01
   0.9682000E-01  0.5578000E-01
   0.7184000E-01  0.4794000E-01
   0.4697000E-01  0.3863000E-01
   0.2231000E-01  0.2680000E-01
   0.1016000E-01  0.1900000E-01
   0.5420000E-02  0.1480000E-01
   0.3130000E-02  0.1208000E-01
    0.000000       0.000000    
   0.6870000E-02 -0.1008000E-01
   0.9580000E-02 -0.1200000E-01
   0.1484000E-01 -0.1472000E-01
   0.2769000E-01 -0.1936000E-01
   0.5303000E-01 -0.2599000E-01
   0.7816000E-01 -0.3098000E-01
   0.1031800     -0.3510000E-01
   0.1530300     -0.4150000E-01
   0.2027400     -0.4625000E-01
   0.2523600     -0.4970000E-01
   0.3019300     -0.5205000E-01
   0.3514600     -0.5335000E-01
   0.4009700     -0.5355000E-01
   0.4504700     -0.5237000E-01
   0.5000000     -0.4962000E-01
   0.5495700     -0.4530000E-01
   0.5992100     -0.3976000E-01
   0.6489400     -0.3342000E-01
   0.6987600     -0.2654000E-01
   0.7486900     -0.1952000E-01
   0.7987400     -0.1263000E-01
   0.8489100     -0.6280000E-02
   0.8992000     -0.1070000E-02
   0.9496000      0.2060000E-02
    1.000000       0.000000    
